                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3565,                 2.9113,                 2.5584,                 1.3445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4055,                    nan,                    inf,                 418.74,               0.070588,               0.003268,               0.003268
                      2,                 1.3465,                 2.3486,                  1.527,                 1.3547,                0.04286,                0.29562,                0.03318,                0.01579,                0.04642,                0.20296,                0.02404,                0.01093,                 2.5234,                 15.799,                    inf,                 7.7195,               0.040556,              0.0065686,              0.0065686
                      3,                 1.2856,                 2.1354,                 1.3828,                 1.3148,                0.29871,                0.28531,                0.21653,                  0.083,                0.35087,                0.21092,                0.20127,                0.10171,                 2.2225,                 6.6625,                  4.335,                 3.4971,                0.01049,              0.0098363,              0.0098363
                      4,                  1.196,                 2.0284,                 1.2601,                 1.2634,                0.37362,                0.16652,                0.15172,                0.08612,                0.37179,                 0.1678,                0.14683,                0.08445,                  2.007,                   3.94,                 3.2674,                 2.7152,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1512,                 1.9446,                 1.1876,                 1.2424,                0.45872,                0.43136,                 0.4035,                0.21032,                0.50618,                0.34293,                0.34762,                0.18951,                 1.6581,                 2.9462,                  2.072,                 2.0279,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1022,                 1.9377,                 1.0993,                 1.2103,                0.58002,                0.51432,                0.51885,                0.30556,                0.50654,                0.41593,                0.40383,                0.22476,                 1.5566,                 3.1307,                 1.7069,                 1.7684,               0.009802,               0.009802,               0.009802
                      7,                 1.1081,                 1.8794,                 1.1045,                 1.2065,                0.67375,                0.64888,                0.69257,                0.44757,                0.69455,                0.60518,                0.65488,                0.40637,                 1.2181,                 2.1458,                 1.4477,                   1.39,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.0718,                 1.8023,                 1.0404,                 1.1832,                0.68841,                0.63508,                0.69053,                  0.453,                0.67306,                0.60066,                0.64297,                0.38648,                 1.1658,                 2.2665,                 1.4148,                 1.3483,               0.009703,               0.009703,               0.009703
                      9,                 1.0527,                 1.8173,                 1.0187,                 1.1763,                0.56743,                0.38723,                0.42376,                0.27953,                0.53427,                0.32628,                0.38258,                0.25948,                 1.4244,                 3.0339,                 1.8927,                 1.7114,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.0065,                 1.7672,                0.96957,                 1.1493,                0.76436,                0.76515,                0.82507,                0.58756,                0.75232,                0.72679,                0.78633,                0.52084,                 1.0241,                 1.8635,                 1.2217,                 1.2254,               0.009604,               0.009604,               0.009604
                     11,                 1.0173,                 1.7329,                0.95603,                 1.1558,                0.75404,                0.73434,                0.77867,                0.54417,                0.75157,                 0.7128,                0.75938,                0.50328,                 1.0463,                 1.9324,                  1.092,                  1.258,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.0147,                  1.767,                0.96457,                 1.1577,                0.74687,                0.71129,                0.77932,                0.51497,                 0.7415,                0.70234,                0.76193,                 0.4995,                 1.1375,                 1.7422,                 1.0899,                 1.2724,               0.009505,               0.009505,               0.009505
                     13,                0.99984,                 1.7376,                0.94242,                 1.1514,                0.79301,                0.74814,                0.82195,                0.57598,                 0.7881,                0.72109,                0.79324,                0.52425,                 1.0604,                   1.85,                 1.0721,                 1.2496,              0.0094555,              0.0094555,              0.0094555
                     14,                 0.9672,                 1.6621,                0.88683,                 1.1236,                 0.7981,                0.78184,                0.83847,                0.60748,                0.78972,                0.74354,                 0.8062,                0.54367,                0.98556,                 1.7592,                0.92445,                 1.2052,               0.009406,               0.009406,               0.009406
                     15,                0.95729,                 1.6068,                0.84787,                 1.1112,                0.80512,                0.77093,                0.82156,                  0.589,                 0.8004,                0.75448,                0.80037,                0.53194,                 1.0245,                 1.7327,                 1.0189,                 1.2281,              0.0093565,              0.0093565,              0.0093565
                     16,                0.92245,                 1.6141,                0.84296,                  1.107,                0.76955,                0.76373,                0.80813,                0.59272,                0.75785,                0.73137,                0.77324,                0.49743,                0.98361,                 2.0837,                 1.0061,                 1.1998,               0.009307,               0.009307,               0.009307
                     17,                0.93469,                 1.6249,                0.83388,                 1.1181,                0.83655,                0.79078,                0.85412,                 0.6323,                0.82324,                0.76931,                0.82734,                0.57531,                0.95365,                 1.6078,                 0.8725,                 1.1712,              0.0092575,              0.0092575,              0.0092575
                     18,                0.90954,                 1.6396,                0.81327,                 1.0998,                0.81929,                0.79222,                0.84377,                0.60943,                0.81361,                0.74464,                 0.8108,                0.55109,                 1.0155,                 1.7311,                0.90838,                 1.2205,               0.009208,               0.009208,               0.009208
                     19,                0.92246,                 1.6327,                0.82319,                  1.106,                0.83644,                0.83194,                0.88314,                0.65192,                0.82318,                0.81543,                 0.8638,                0.59606,                0.95079,                 1.6358,                0.87672,                 1.1758,              0.0091585,              0.0091585,              0.0091585
                     20,                0.91911,                 1.5908,                0.81133,                 1.1085,                0.80427,                0.77149,                0.83971,                0.60989,                0.80548,                0.76103,                0.82484,                 0.5747,                 0.9928,                 1.6522,                0.90525,                 1.1966,               0.009109,               0.009109,               0.009109
                     21,                0.93118,                 1.5734,                0.81267,                 1.1037,                0.82564,                 0.7592,                0.83081,                0.60092,                 0.8133,                0.73937,                 0.8014,                0.52199,                  1.018,                 1.8515,                 1.0475,                 1.2093,              0.0090595,              0.0090595,              0.0090595
                     22,                0.90015,                 1.5179,                0.76867,                 1.0892,                0.84324,                0.80745,                0.87248,                0.64501,                0.82607,                0.79309,                0.85331,                0.59659,                0.94155,                 1.5296,                0.81846,                 1.1582,                0.00901,                0.00901,                0.00901
                     23,                0.89973,                 1.5169,                0.77763,                 1.0931,                0.84866,                0.82955,                0.88533,                0.66671,                0.84941,                0.81921,                0.87263,                0.61587,                0.91313,                 1.4395,                0.83433,                 1.1401,              0.0089605,              0.0089605,              0.0089605
