                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5827,                 3.0389,                 2.5683,                 1.2765,                0.04869,                0.14909,                0.03154,                0.01611,                0.03603,                0.06486,                0.02156,                0.00815,                 2.7291,                 12.947,                 17.935,                 2.7839,               0.070566,              0.0032704,              0.0032704
                      2,                  1.472,                 2.4756,                 1.4803,                  1.229,                0.39558,                0.36847,                0.26974,                0.13882,                0.35955,                0.27716,                0.22063,                0.09276,                 1.8276,                 4.6936,                 5.9581,                 1.6632,               0.040522,              0.0065602,              0.0065602
                      3,                 1.4238,                 2.3727,                 1.4224,                 1.2049,                0.25581,                0.18528,                 0.1589,                0.08559,                 0.2035,                0.12904,                0.10871,                0.04219,                 2.1106,                 6.2486,                 5.1501,                 1.9779,               0.010435,              0.0098059,              0.0098059
                      4,                 1.3878,                 2.2797,                 1.2969,                 1.1932,                0.56303,                0.56193,                0.54518,                0.29406,                0.53673,                 0.5261,                0.50074,                0.23073,                 1.4649,                 2.5465,                  2.007,                 1.3408,               0.009802,               0.009802,               0.009802
                      5,                 1.3928,                 2.3016,                 1.2615,                 1.2019,                0.67139,                0.66046,                0.67596,                  0.372,                 0.6349,                0.62845,                0.62219,                0.29348,                 1.4303,                 2.4959,                 1.2727,                 1.2963,               0.009802,               0.009802,               0.009802
                      6,                 1.3424,                 2.1694,                 1.1637,                 1.1604,                0.72096,                0.69586,                0.72247,                0.40644,                 0.6851,                0.67131,                0.67619,                0.32702,                 1.3755,                 2.2036,                 1.1771,                 1.2358,               0.009736,               0.009736,               0.009736
                      7,                 1.3401,                 2.1517,                 1.1668,                 1.1659,                0.63255,                0.57427,                 0.5872,                0.32088,                0.60036,                0.53082,                0.52642,                0.24078,                 1.5068,                 2.8144,                 1.5106,                 1.3287,                0.00967,                0.00967,                0.00967
                      8,                 1.3088,                   2.12,                 1.1271,                 1.1585,                0.74158,                0.69746,                0.73204,                 0.4228,                0.73078,                0.67433,                0.69175,                0.34692,                 1.3314,                 2.1203,                 1.1692,                 1.2168,               0.009604,               0.009604,               0.009604
                      9,                 1.2976,                 2.0808,                 1.0977,                 1.1402,                0.72739,                0.72733,                 0.7369,                0.42274,                0.71387,                 0.6842,                0.69173,                0.34602,                 1.3458,                 2.1357,                 1.0902,                 1.2099,               0.009538,               0.009538,               0.009538
                     10,                  1.282,                 2.0633,                 1.0602,                 1.1284,                0.73696,                0.70433,                0.72825,                0.42593,                0.70564,                0.65084,                0.66976,                0.33412,                 1.3306,                 2.2577,                 1.0926,                 1.2069,               0.009472,               0.009472,               0.009472
                     11,                 1.2777,                 2.0835,                 1.0654,                 1.1389,                0.64215,                0.59154,                0.60442,                0.34615,                0.60026,                0.55836,                 0.5525,                0.26804,                 1.3939,                 2.4462,                 1.3467,                 1.2646,               0.009406,               0.009406,               0.009406
                     12,                 1.2425,                 2.0031,                 1.0209,                 1.1181,                0.71192,                0.67327,                0.69323,                0.40146,                0.66455,                0.63826,                0.63056,                0.31333,                 1.3586,                 2.3963,                 1.1746,                 1.2209,                0.00934,                0.00934,                0.00934
