                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6782,                  4.505,                 3.6217,                 1.7672,                0.11731,                0.17783,                0.11904,                0.07346,                0.11887,                 0.1817,                0.11626,                0.07023,                 1.6186,                 3.3886,                 3.2036,                 1.9251,                0.06766,             0.00032667,             0.00032667
                      1,                 1.4174,                 2.9268,                 2.7297,                 1.6148,                0.36887,                0.28498,                0.25124,                0.14922,                0.34341,                0.28298,                0.23928,                0.13272,                 1.4736,                 3.0091,                 2.6414,                 1.7575,               0.034647,             0.00064693,             0.00064693
                      2,                 1.1679,                 2.4374,                  2.059,                 1.4643,                0.36143,                0.44112,                0.36372,                0.22795,                0.37472,                0.42789,                 0.3684,                0.21359,                 1.3333,                 2.4995,                 2.1761,                 1.6871,              0.0016207,               0.000954,               0.000954
                      3,                 1.0342,                 2.1181,                 1.6438,                 1.3474,                0.59081,                0.58761,                0.57656,                0.39085,                  0.615,                0.58027,                0.57916,                0.37029,                 1.0934,                 1.9874,                 1.5305,                 1.4025,              0.0009406,              0.0009406,              0.0009406
                      4,                0.98609,                 2.0146,                 1.4099,                 1.2977,                0.65287,                0.56286,                0.60079,                0.39799,                0.67441,                0.54168,                0.59158,                0.36741,                 1.1086,                 2.0605,                 1.4805,                 1.3973,              0.0009406,              0.0009406,              0.0009406
                      5,                0.92002,                 1.8967,                 1.2193,                 1.2356,                0.72364,                0.65314,                0.69548,                0.47419,                0.72018,                0.64699,                0.69153,                0.43749,                 1.0531,                 1.9255,                 1.2757,                 1.3337,              0.0009208,              0.0009208,              0.0009208
                      6,                0.91185,                 1.8201,                 1.1262,                  1.216,                0.75629,                0.69004,                0.74426,                0.50815,                0.75004,                0.68595,                0.73345,                 0.4734,                 0.9923,                 1.6904,                 1.0923,                  1.274,               0.000901,               0.000901,               0.000901
                      7,                0.85964,                 1.6855,                 1.0334,                 1.1888,                0.74198,                0.70657,                0.75101,                0.51828,                0.74749,                0.70285,                0.75121,                0.48165,                0.97338,                 1.6896,                 1.0318,                 1.2633,              0.0008812,              0.0008812,              0.0008812
                      8,                0.83583,                 1.6936,                0.97523,                 1.1655,                0.76221,                0.75738,                0.79406,                0.54378,                0.77085,                0.75111,                0.79636,                0.50494,                0.94632,                 1.6251,                0.93787,                 1.2393,              0.0008614,              0.0008614,              0.0008614
                      9,                0.85547,                 1.6619,                0.92961,                 1.1753,                0.80087,                0.74157,                0.80561,                0.56045,                0.79544,                0.74289,                0.80727,                0.51596,                0.92818,                 1.5891,                0.90528,                 1.2218,              0.0008416,              0.0008416,              0.0008416
                     10,                 0.8182,                 1.6029,                0.86918,                 1.1466,                0.75906,                0.74803,                0.78118,                0.53506,                0.76434,                0.76163,                0.78233,                 0.4935,                0.95489,                 1.6962,                0.92877,                 1.2409,              0.0008218,              0.0008218,              0.0008218
                     11,                0.83877,                 1.6379,                0.90618,                 1.1653,                0.81477,                0.75172,                0.80817,                0.56764,                0.82206,                0.75226,                0.81342,                0.52341,                0.91918,                 1.5883,                0.87342,                 1.2179,               0.000802,               0.000802,               0.000802
                     12,                0.83898,                 1.6333,                0.87167,                 1.1529,                 0.8335,                 0.7187,                0.81573,                0.57455,                0.83684,                0.72674,                0.81116,                0.52802,                0.91909,                 1.5565,                0.83546,                 1.2067,              0.0007822,              0.0007822,              0.0007822
                     13,                0.81092,                 1.5625,                 0.8274,                 1.1362,                0.82309,                0.72714,                0.79694,                0.55683,                0.81056,                0.73273,                0.78979,                0.51261,                0.95792,                 1.6097,                0.86664,                 1.2319,              0.0007624,              0.0007624,              0.0007624
                     14,                0.81288,                 1.5616,                0.81507,                 1.1337,                0.85763,                0.77579,                0.84509,                0.59491,                0.85576,                 0.7795,                0.84031,                0.55309,                 0.9179,                 1.4862,                0.78085,                 1.1978,              0.0007426,              0.0007426,              0.0007426
                     15,                0.79848,                 1.5719,                0.80478,                 1.1204,                0.82007,                0.78929,                0.84105,                0.59138,                0.83334,                0.79912,                0.84922,                0.55762,                0.91117,                 1.4792,                0.76574,                 1.2019,              0.0007228,              0.0007228,              0.0007228
                     16,                0.77242,                 1.5048,                0.77141,                 1.1096,                0.83302,                0.79402,                 0.8542,                0.59708,                0.83817,                0.80969,                0.85429,                 0.5537,                0.90052,                   1.49,                0.76849,                 1.1878,               0.000703,               0.000703,               0.000703
                     17,                0.78528,                 1.5025,                 0.7831,                 1.1258,                0.83233,                0.79288,                0.85033,                0.60299,                0.83753,                 0.7996,                0.85142,                0.55791,                0.89441,                 1.4625,                0.77045,                 1.1847,              0.0006832,              0.0006832,              0.0006832
                     18,                0.80443,                 1.5493,                0.77178,                 1.1336,                0.83203,                0.79317,                0.85754,                0.60655,                0.82781,                0.79211,                0.84256,                0.56393,                 0.8916,                 1.4664,                0.74131,                  1.182,              0.0006634,              0.0006634,              0.0006634
                     19,                0.79956,                 1.4987,                 0.7529,                 1.1178,                0.78886,                0.80646,                0.84894,                0.60717,                0.81796,                0.80221,                0.85837,                0.55841,                0.89382,                 1.4768,                0.74611,                 1.1851,              0.0006436,              0.0006436,              0.0006436
                     20,                0.75013,                 1.4496,                0.72738,                 1.0972,                0.84529,                0.81091,                0.86411,                0.61422,                0.85767,                0.82295,                0.87128,                0.57896,                0.88697,                 1.4546,                0.72781,                 1.1679,              0.0006238,              0.0006238,              0.0006238
                     21,                0.75779,                 1.4436,                0.71853,                 1.0925,                0.85003,                0.78587,                0.86492,                0.61283,                0.85732,                 0.7954,                0.86446,                0.57047,                0.90573,                 1.4822,                0.72251,                 1.1778,               0.000604,               0.000604,               0.000604
                     22,                0.76839,                 1.4453,                0.72327,                  1.101,                0.83157,                0.79536,                0.85715,                0.60634,                0.82455,                0.81176,                0.85742,                0.56506,                0.88968,                 1.4532,                0.73621,                 1.1778,              0.0005842,              0.0005842,              0.0005842
                     23,                0.77061,                 1.4857,                0.72531,                 1.1007,                0.83555,                0.80258,                0.86584,                0.60936,                0.84766,                0.80859,                0.86869,                0.56655,                0.89748,                  1.445,                0.72482,                 1.1829,              0.0005644,              0.0005644,              0.0005644
                     24,                0.75761,                 1.4642,                0.70489,                 1.1016,                0.84054,                0.79542,                 0.8634,                0.61836,                0.85173,                0.80447,                0.87024,                0.57332,                0.89883,                 1.4234,                0.72162,                 1.1898,              0.0005446,              0.0005446,              0.0005446
                     25,                0.76122,                 1.4346,                0.70184,                 1.0962,                0.82487,                0.80104,                 0.8583,                0.60494,                0.83875,                0.81301,                0.85932,                0.55895,                0.91445,                  1.465,                0.73133,                 1.1894,              0.0005248,              0.0005248,              0.0005248
                     26,                0.75289,                 1.4529,                0.70884,                  1.096,                0.84915,                0.81964,                0.86435,                 0.6121,                0.85907,                0.82876,                0.87165,                0.57171,                0.90266,                 1.4144,                0.72272,                 1.1725,               0.000505,               0.000505,               0.000505
                     27,                0.75311,                 1.4607,                0.69239,                 1.0881,                0.80826,                 0.8145,                0.84926,                0.60584,                0.83807,                0.80976,                0.85731,                0.55965,                0.90562,                  1.479,                0.73339,                 1.1876,              0.0004852,              0.0004852,              0.0004852
